Bateau;Date passage;Fermeture a la circulation;Re-ouverture a la circulation;Type de fermeture
MAINTENANCE;10/01/2016;23:00;05:00;Totale
RHM MALABAR;22/01/2016;17:30;19:32;Totale
RHM MALABAR;25/01/2016;07:45;09:27;Totale
MAINTENANCE;28/01/2016;23:00;05:00;Totale
MAINTENANCE;31/01/2016;23:00;05:00;Totale
MAINTENANCE;21/02/2016;23:00;05:00;Totale
BEGM THETIS;26/02/2016;09:32;11:07;Totale
BEGM THETIS;29/02/2016;09:32;10:57;Totale
BE LEOPARD / BE PANTHERE;04/03/2016;14:42;15:57;Totale
BE LEOPARD / BE PANTHERE;07/03/2016;05:32;06:57;Totale
MAINTENANCE;20/03/2016;23:00;05:00;Totale
BRAEMAR;27/03/2016;09:00;11:17;Totale
BRAEMAR;29/03/2016;10:30;12:42;Totale
Flotte KEDGE;02/04/2016;12:04;13:04;Totale
Flotte KEDGE;02/04/2016;16:49;17:49;Totale
MARATHON de Bordeaux;09/04/2016;18:30;22:00;Totale
BRAEMAR;19/04/2016;05:30;07:47;Totale
MINERVA;20/04/2016;06:00;07:27;Totale
BRAEMAR;20/04/2016;19:00;21:12;Totale
MINERVA;21/04/2016;18:15;19:57;Totale
AUSTRAL;23/04/2016;07:45;09:12;Totale
VIKING STAR;23/04/2016;19:30;21:47;Totale
AUSTRAL / VIKING STAR;25/04/2016;19:00;20:57;Totale
Voilier TOWT - La Nébuleuse;30/04/2016;13:34;14:34;Totale
SAGA PEARL II;02/05/2016;02:15;04:32;Totale
Voilier TOWT - La Nébuleuse / SAGA PEARL II;03/05/2016;15:15;16:57;Totale
SILVER EXPLORER;04/05/2016;04:45;06:12;Totale
SILVER EXPLORER / Flotte Croiseurs Médocains;05/05/2016;17:15;18:57;Totale
THE WORLD / Flotte Croiseurs Médocains;07/05/2016;07:34;09:52;Totale
CORINTHIAN;09/05/2016;09:19;10:37;Totale
CORINTHIAN;10/05/2016;21:17;22:52;Totale
Voilier ARAWAK / THE WORLD;11/05/2016;20:47;22:27;Totale
Voilier ARAWAK;15/05/2016;16:04;17:04;Totale
BRAEMAR;18/05/2016;04:49;07:07;Totale
BRAEMAR;18/05/2016;17:19;19:27;Totale
Flotte La Cotinière;20/05/2016;19:19;20:57;Totale
SILVER WHISPER;22/05/2016;07:04;09:22;Totale
Flotte La Cotinière;22/05/2016;19:04;20:42;Totale
SILVER WHISPER;23/05/2016;19:04;20:42;Totale
FTI BERLIN;26/05/2016;09:34;10:52;Totale
FTI BERLIN;27/05/2016;22:04;23:42;Totale
NAUTICA / CRYSTAL SYMPHONY / Flotte voiliers APLR;28/05/2016;10:49;13:27;Totale
CRYSTAL SYMPHONY / NAUTICA / NG ORION ;29/05/2016;09:49;13:42;Totale
NG ORION;29/05/2016;22:49;00:27;Totale
Voilier IMOCA AEROCAMPUS / Flotte voiliers APLR;30/05/2016;13:49;15:27;Totale
Voilier IMOCA AEROCAMPUS / SEVEN SEAS VOYAGER;03/06/2016;17:34;19:52;Totale
SEVEN SEAS VOYAGER;04/06/2016;16:49;18:57;Totale
SILVER WIND;05/06/2016;07:19;08:42;Totale
SILVER WIND;06/06/2016;19:19;20:57;Totale
 EURO 2016 - Fermeture voies routières - Sens Quai de Brazza vers Rue Lucien FAURE;11/06/2016;13:00;23:00;Partielle - Sens Quai de Brazza vers Rue Lucien Faure
STAR LEGEND;14/06/2016;14:49;16:12;Totale
 EURO 2016 - Fermeture voies routières - Sens Quai de Brazza vers Rue Lucien FAURE;14/06/2016;16:12;23:00;Partielle - Sens Quai de Brazza vers Rue Lucien Faure
STAR LEGEND;15/06/2016;15:49;17:27;Totale
 EURO 2016 - Fermeture voies routières - Sens Quai de Brazza vers Rue Lucien FAURE;18/06/2016;10:00;20:00;Partielle - Sens Quai de Brazza vers Rue Lucien Faure
SEVEN SEAS VOYAGER / AEGEAN ODYSSEY;19/06/2016;18:34;21:37;Totale
SEVEN SEAS VOYAGER / AEGEAN ODYSSEY;20/06/2016;18:19;20:27;Totale
 EURO 2016 - Fermeture voies routières - Sens Quai de Brazza vers Rue Lucien FAURE;21/06/2016;16:00;02:00;Partielle - Sens Quai de Brazza vers Rue Lucien Faure
BELEM & voilier ARAWAK / EUROPA 2;22/06/2016;20:19;22:37;Totale
EUROPA 2;23/06/2016;20:19;21:57;Totale
Barge pyrotechnique - Fête du Vin;23/06/2016;22:15;22:45;Totale
Barge pyrotechnique - Fête du Vin;24/06/2016;00:00;00:30;Totale
Barge pyrotechnique - Fête du Vin;24/06/2016;22:15;22:45;Totale
Barge pyrotechnique - Fête du Vin;25/06/2016;00:00;00:30;Totale
Barge pyrotechnique - Fête du Vin;25/06/2016;22:15;22:45;Totale
Barge pyrotechnique - Fête du Vin;26/06/2016;00:00;00:30;Totale
Barge pyrotechnique - Fête du Vin;26/06/2016;22:15;22:45;Totale
Barge pyrotechnique - Fête du Vin;27/06/2016;00:00;00:30;Totale
BELEM & voilier ARAWAK;27/06/2016;12:19;13:57;Totale
Voilier ELISABETH / AEGEAN ODYSSEY;02/07/2016;05:04;07:07;Totale
 EURO 2016 - Fermeture voies routières - Sens Quai de Brazza vers Rue Lucien FAURE;02/07/2016;16:00;03:00;Partielle - Sens Quai de Brazza vers Rue Lucien Faure
AEGEAN ODYSSEY;03/07/2016;17:34;19:12;Totale
Voiliers régate ROYAN ATLANTIQUE;14/07/2016;14:19;15:57;Totale
Barge pyrotechnique - Fête Nationale;14/07/2016;21:15;21:35;Totale
Barge pyrotechnique - Fête Nationale;14/07/2016;23:40;23:55;Totale
Voiliers régate ROYAN ATLANTIQUE;15/07/2016;16:19;17:57;Totale
MAINTENANCE;17/07/2016;23:00;05:00;Totale
BRAEMAR;25/07/2016;11:04;13:22;Totale
BRAEMAR;26/07/2016;11:49;13:57;Totale
SIRENA;02/08/2016;06:49;09:07;Totale
SIRENA;04/08/2016;06:49;08:57;Totale
SIRENA;10/08/2016;11:34;13:52;Totale
SIRENA;11/08/2016;11:04;12:42;Totale
INSIGNIA / CRYSTAL SYMPHONY;13/08/2016;01:49;04:37;Totale
CRYSTAL SYMPHONY / INSIGNIA / STAR LEGEND;14/08/2016;13:49;17:37;Totale
STAR LEGEND;15/08/2016;04:49;06:27;Totale
SILVER WIND / EUROPA;02/09/2016;07:34;10:07;Totale
EUROPA;03/09/2016;20:34;22:12;Totale
SILVER WIND;04/09/2016;08:04;09:42;Totale
BRAEMAR;05/09/2016;09:49;12:07;Totale
BRAEMAR;07/09/2016;22:19;00:27;Totale
Cargo PANTA RHEI;07/09/2016;10:04;11:27;Totale
PRINSENDAM;10/09/2016;12:04;14:22;Totale
PRINSENDAM;11/09/2016;13:19;14:57;Totale
NG ORION;17/09/2016;07:49;09:07;Totale
NG ORION / PANTA RHEI;18/09/2016;18:49;20:57;Totale
NAUTICA;24/09/2016;00:34;02:52;Totale
NAUTICA;25/09/2016;13:34;15:12;Totale
SEVEN SEAS VOYAGER;06/10/2016;09:49;12:07;Totale
SEVEN SEAS VOYAGER / CLIO;07/10/2016;08:49;11:42;Totale
CLIO;08/10/2016;20:49;22:27;Totale
Voilier SHTANDART;14/10/2016;;;Totale
Voilier SHTANDART;16/10/2016;;;Totale
BREMEN;19/10/2016;09:19;10:42;Totale
BREMEN;19/10/2016;21:19;22:57;Totale
CORINTHIAN;31/10/2016;06:19;07:42;Totale
CORINTHIAN;01/11/2016;05:04;06:42;Totale
MAINTENANCE;13/11/2016;23:00;05:00;Totale
MAINTENANCE;11/12/2016;23:00;05:00;Totale
