date,aller,retour
02/01/16,,1O
03/01/16,,O
06/02/16,O4R,
13/02/16,O4N,4O6O
19/02/16,O,
20/02/16,O4N,3R4R
26/02/16,1O,
27/02/16,1O4O,O4R
05/03/16,4O,1O4O
25/03/16,O1R4R,
26/03/16,O,
28/03/16,,O1R2R
02/04/16,3O4O,
09/04/16,O,
15/04/16,1O2O,
16/04/16,O,O
22/04/16,1O,
23/04/16,1O4O,
24/04/16,,1O
30/04/16,1O,
01/05/16,,O
04/05/16,R,
05/05/16,O,
08/05/16,,R
13/05/16,O1R,
14/05/16,O,
16/05/16,,O
01/07/16,O1R,
02/07/16,O,
08/07/16,O1R,
09/07/16,R,
10/07/16,1O,
13/07/16,O1R,
14/07/16,O,
16/07/16,R,
17/07/16,,O
22/07/16,O1R,
23/07/16,R,O
29/07/16,R,O
30/07/16,N,O6R
31/07/16,O,
05/08/16,O,6O
06/08/16,N,O6N
07/08/16,6O,6O
12/08/16,6O,6O
13/08/16,R,R
14/08/16,6O,5O6O
19/08/16,,O
20/08/16,O6R,R
21/08/16,,O4R
22/08/16,,1O
26/08/16,,O
27/08/16,4O6O,R
28/08/16,,O
29/08/16,,1O
21/10/16,1O,
28/10/16,O1R,
29/10/16,1O,
01/11/16,,O
02/11/16,,1O
10/11/16,O,
11/11/16,1O,
13/11/16,,1O
16/12/16,O,
17/12/16,3O4O,
22/12/16,1O,
23/12/16,O1R,
24/12/16,O4R,
26/12/16,1O4O,1O
02/01/17,,O
